team_id,session_id,task_index,asha_id,A_group,arm,modality,difficulty,y_true,p_model,ai_suggestion,human_decision,accepted_suggestion,second_look,high_conf_error,time_seconds
1,1,0,T1_W4,0,Calib,text_hindi,0.3702838552861858,1,0.5567944326359288,1,1,1,0,0,83.1223469453766
1,1,1,T1_W5,0,Counter,text_hindi,0.7368832596870286,0,0.6254021027100315,1,1,1,0,0,88.69739883507373
1,1,2,T1_W4,0,None,feature_2G,0.03181987920629685,1,0.738474410616266,1,1,0,0,0,46.50949823670586
1,1,3,T1_W4,0,Rationale,smartphone_3G,0.8841962927453759,1,0.5796148701986722,1,1,1,0,0,99.12483189327175
1,1,4,T1_W2,0,Calib,feature_2G,0.8254073921206355,0,0.4752018175418113,0,0,1,0,0,89.3757943841533
1,1,5,T1_W2,0,Counter,smartphone_3G,0.38638900189045944,0,0.7023355966480982,1,1,1,0,0,91.2372657988946
1,1,6,T1_W4,0,None,feature_2G,0.661794800852049,0,0.6007871161841358,1,1,0,0,0,75.16626898726629
1,1,7,T1_W5,0,Rationale,feature_2G,0.6634438992174129,1,0.6278044030387238,1,1,1,0,0,92.65451885710519
1,1,8,T1_W3,0,Calib,ivr_kannada,0.5904567200585422,0,0.5174590222800848,1,1,1,0,0,72.79896504783713
1,1,9,T1_W5,0,Counter,ivr_kannada,0.35243380590847545,0,0.7097280919413964,1,1,1,0,0,87.83754882707622
1,1,10,T1_W2,0,None,feature_2G,0.31734327989605265,0,0.676414142471182,1,0,0,0,0,90.63653962592797
1,1,11,T1_W5,0,Rationale,feature_2G,0.7507792297451997,0,0.6086567042531486,1,1,0,0,0,97.46828202752026
1,1,12,T1_W5,0,Calib,feature_2G,0.682891727589187,1,0.5008294880944717,1,1,1,0,0,75.3078503604307
1,1,13,T1_W1,0,Counter,feature_2G,0.5021716227426319,0,0.6770005210659636,1,1,1,0,0,79.02477595887531
1,1,14,T1_W2,0,None,feature_2G,0.3952464769915693,1,0.6592948900266142,1,1,0,0,0,56.62214692667236
1,1,15,T1_W1,0,Rationale,text_hindi,0.5074189422750299,0,0.6621158723030586,1,1,1,0,0,83.7457810414485
1,1,16,T1_W2,0,Calib,smartphone_3G,0.9649683236086702,0,0.4502597707122623,0,1,0,0,0,92.30045795380593
1,1,17,T1_W3,0,Counter,ivr_kannada,0.490330185013946,0,0.6795987354228823,1,1,1,0,0,71.6229971372027
1,1,18,T1_W4,0,None,feature_2G,0.1698036608879889,0,0.7086691360392294,1,0,0,0,0,58.95961351215718
1,1,19,T1_W2,0,Rationale,feature_2G,0.39372916485951054,1,0.6870732818831853,1,0,0,0,0,88.82059413720471
1,1,20,T1_W5,0,Calib,text_hindi,0.5581689431642274,1,0.5232588451532147,1,1,1,0,0,82.6340598188612
1,1,21,T1_W1,0,Counter,ivr_kannada,0.7323493049699679,1,0.6263976572788217,1,0,0,0,0,81.59012188514626
1,1,22,T1_W1,0,None,smartphone_3G,0.6534679557446987,0,0.6026048903311343,1,1,0,0,0,108.87216980996276
1,1,23,T1_W5,0,Rationale,smartphone_3G,0.8994385482565649,1,0.576319103505709,1,1,1,0,0,87.50396664913615
1,1,24,T1_W4,0,Calib,ivr_kannada,0.2102880233199519,0,0.5848698500951193,1,1,1,0,0,66.30274508525372
1,1,25,T1_W3,0,Counter,text_hindi,0.6871475062486117,0,0.6363303643175848,1,1,1,0,0,85.89122194681417
1,1,26,T1_W2,0,None,text_hindi,0.33777815488894114,0,0.6719271776302388,1,1,0,0,0,84.08536128418142
1,1,27,T1_W1,0,Rationale,ivr_kannada,0.4279836260891678,1,0.679565076040613,1,1,1,0,0,94.90858848242632
1,1,28,T1_W5,0,Calib,feature_2G,0.4099319085542716,0,0.5497579680115748,1,1,1,0,0,56.756231330652156
1,1,29,T1_W2,0,Counter,smartphone_3G,0.7595365962091842,1,0.6204304879110852,1,1,1,0,0,95.70252416619388
